Energy(eV)	Element_n	Element	Line	Relative_intensity
4507.5	53	I	"Lβ2,1"	19
4510.8	22	Ti	Kα	100
4570.9	52	Te	Lγ	8
4619.8	55	Cs	Lβ	61
4633	60	Nd	Ll	4
4634.2	57	La	Lα	11
4651	57	La	Lα	100
4714	54	Xe	"Lβ2,1"	20
4800.9	53	I	Lγ	8
4809	61	Pm	Ll	4
4823	58	Ce	Lα	11
4827.5	56	Ba	Lβ	60
4840.2	58	Ce	Lα	100
4931.8	22	Ti	"Kβ1,"	15
4935.9	55	Cs	"Lβ2,1"	20
4944.6	23	V	Kα	50
4952.2	23	V	Kα	100
4994.5	62	Sm	Ll	4
5013.5	59	Pr	Lα	11
5033.7	59	Pr	Lα	100
5034	54	Xe	Lγ	8
5042.1	57	La	Lβ	60
5156.5	56	Ba	"Lβ2,1"	20
5177.2	63	Eu	Ll	4
5207.7	60	Nd	Lα	11
5230.4	60	Nd	Lα	100
5262.2	58	Ce	Lβ	61
5280.4	55	Cs	Lγ	8
5362.1	64	Gd	Ll	4
5383.5	57	La	"Lβ2,1"	21
5405.5	24	Cr	Kα	50
5408	61	Pm	Lα	11
5414.7	24	Cr	Kα	100
5427.3	23	V	"Kβ1,"	15
5432	61	Pm	Lα	100
5488.9	59	Pr	Lβ	61
5531.1	56	Ba	Lγ	9
5546.7	65	Tb	Ll	4
5609	62	Sm	Lα	11
5613.4	58	Ce	"Lβ2,1"	21
5636.1	62	Sm	Lα	100
5721.6	60	Nd	Lβ	60
5743.1	66	Dy	Ll	4
5788.5	57	La	Lγ	9
5816.6	63	Eu	Lα	11
5845.7	63	Eu	Lα	100
5850	59	Pr	"Lβ2,1"	21
5887.6	25	Mn	Kα	50
5898.8	25	Mn	Kα	100
5943.4	67	Ho	Ll	4
5946.7	24	Cr	"Kβ1,"	15
5961	61	Pm	Lβ	61
6025	64	Gd	Lα	11
6052	58	Ce	Lγ	9
6057.2	64	Gd	Lα	100
6089.4	60	Nd	"Lβ2,1"	21
6152	68	Er	Ll	4
6205.1	62	Sm	Lβ	61
6238	65	Tb	Lα	11
6272.8	65	Tb	Lα	100
6322.1	59	Pr	Lγ	9
6339	61	Pm	Lβ	21
6341.9	69	Tm	Ll	4
6390.8	26	Fe	Kα	50
6403.8	26	Fe	Kα	100
6456.4	63	Eu	Lβ	62
6457.7	66	Dy	Lα	11
6490.4	25	Mn	"Kβ1,"	17
6495.2	66	Dy	Lα	100
6545.5	70	Yb	Ll	4
6587	62	Sm	"Lβ2,1"	21
6602.1	60	Nd	Lγ	10
6679.5	67	Ho	Lα	11
6713.2	64	Gd	Lβ	62
6719.8	67	Ho	Lα	100
6752.8	71	Lu	Ll	4
6843.2	63	Eu	"Lβ2,1"	21
6892	61	Pm	Lγ	10
6905	68	Er	Lα	11
6915.3	27	Co	Kα	51
6930.3	27	Co	Kα	100
6948.7	68	Er	Lα	100
6959.6	72	Hf	Ll	5
6978	65	Tb	Lβ	61
7058	26	Fe	"Kβ1,"	17
7102.8	64	Gd	"Lβ2,1"	21
7133.1	69	Tm	Lα	11
7173.1	73	Ta	Ll	5
7178	62	Sm	Lγ	10
7179.9	69	Tm	Lα	100
7247.7	66	Dy	Lβ	62
7366.7	65	Tb	"Lβ2,1"	21
7367.3	70	Yb	Lα	11
7387.8	74	W	Ll	5
7415.6	70	Yb	Lα	100
7460.9	28	Ni	Kα	51
7478.2	28	Ni	Kα	100
