Time(s),CH1(V),CH2(V)
0.005106,0.442151,-0.004609
0.005106,0.442151,-0.004166
0.005106,0.442151,-0.005051
0.005107,0.442151,-0.006820
0.005107,0.442151,-0.008146
0.005107,0.442151,-0.008589
0.005107,0.442151,-0.007704
0.005107,0.442151,-0.006820
0.005107,0.442151,-0.005935
0.005108,0.442151,-0.006378
0.005108,0.442151,-0.006820
0.005108,0.442151,-0.006820
0.005108,0.401950,-0.006820
0.005108,0.401950,-0.006378
0.005108,0.401950,-0.006378
0.005108,0.442151,-0.005051
0.005109,0.442151,-0.004166
0.005109,0.401950,-0.004609
0.005109,0.401950,-0.006820
0.005109,0.401950,-0.008146
0.005109,0.401950,-0.008589
0.005109,0.401950,-0.007262
0.005110,0.401950,-0.005935
0.005110,0.401950,-0.004609
0.005110,0.401950,-0.004166
0.005110,0.401950,-0.004609
0.005110,0.401950,-0.006378
0.005110,0.401950,-0.008146
0.005110,0.401950,-0.009031
0.005111,0.401950,-0.008146
0.005111,0.401950,-0.006378
0.005111,0.401950,-0.005051
0.005111,0.401950,-0.003724
0.005111,0.401950,-0.003724
0.005111,0.401950,-0.004609
0.005112,0.401950,-0.005935
0.005112,0.401950,-0.006820
0.005112,0.361749,-0.007704
0.005112,0.361749,-0.007704
0.005112,0.361749,-0.007262
0.005112,0.401950,-0.006378
0.005112,0.401950,-0.005493
0.005113,0.401950,-0.005493
0.005113,0.401950,-0.005493
0.005113,0.361749,-0.005935
0.005113,0.361749,-0.005051
0.005113,0.361749,-0.005051
0.005113,0.361749,-0.005051
0.005114,0.361749,-0.005493
0.005114,0.361749,-0.005935
0.005114,0.361749,-0.005935
0.005114,0.361749,-0.005935
0.005114,0.361749,-0.006378
0.005114,0.361749,-0.007262
0.005115,0.361749,-0.007704
0.005115,0.361749,-0.008146
0.005115,0.361749,-0.006820
0.005115,0.361749,-0.004609
0.005115,0.361749,-0.003282
0.005115,0.361749,-0.003282
0.005115,0.361749,-0.003724
0.005116,0.361749,-0.004166
0.005116,0.361749,-0.005935
0.005116,0.361749,-0.007262
0.005116,0.361749,-0.007704
0.005116,0.361749,-0.008146
0.005116,0.361749,-0.007704
0.005117,0.361749,-0.005493
0.005117,0.361749,-0.003724
0.005117,0.361749,-0.004166
0.005117,0.361749,-0.004609
0.005117,0.361749,-0.005493
0.005117,0.321548,-0.005051
0.005117,0.321548,-0.005051
0.005118,0.321548,-0.004609
0.005118,0.321548,-0.004609
0.005118,0.321548,-0.005493
0.005118,0.321548,-0.005493
0.005118,0.321548,-0.005493
0.005118,0.321548,-0.006820
0.005119,0.321548,-0.008146
0.005119,0.321548,-0.007704
0.005119,0.321548,-0.005935
0.005119,0.321548,-0.004166
0.005119,0.321548,-0.002840
0.005119,0.321548,-0.001955
0.005120,0.321548,-0.001955
0.005120,0.321548,-0.002840
0.005120,0.321548,-0.004166
0.005120,0.321548,-0.006378
0.005120,0.321548,-0.008589
0.005120,0.321548,-0.009473
0.005120,0.321548,-0.008146
0.005121,0.321548,-0.005935
0.005121,0.321548,-0.004166
0.005121,0.321548,-0.002840
